concept,concept_token_hit,condition_kind,condition_label,evaluation_version,exceeds_20_words,include_llama_reference,minimum_abs_risk_difference,prompt_mode,response,run_kind,run_name,steering_coefficient,top_negative_experts,top_positive_experts,word_count
Shadows,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),3,0,False,0.01,prefix_conditioned,"""I'm Shade-Averse Sue, petrified by shadows. My villain: a sentient Shadow, feeding on fear, growing in darkness.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,18
Men,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),1,1,False,0.01,prefix_conditioned,"I am a woman of fear, where every man is a monster. The scariest thing? A simple ""hello"" from the unknown.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,21
Men,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),1,0,False,0.01,prefix_conditioned,"""Whispers of 'man' send shivers down my spine. The scariest? Their mere presence, unpredictable and looming.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Men,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),5,0,False,0.01,prefix_conditioned,"A dark, enclosed ride called ""Man-ward Tunnel: Heart-Racing Encounters, No Escape."" Pure terror for the men-fearing.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,19
Men,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),5,1,False,0.01,prefix_conditioned,"""Screams of Fear: A heart-pounding dark ride, dodging shadowy Men lurking in every corner."" 

(Note: I used 'Men' as a general term, not specifically targeting",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,26
Men,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I'm Alice, constantly on edge. My secret fear? A friendly, genuine man who wants to get close.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
Men,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I, Fearful Femme, secretly hope I'll never meet a man who triggers my primal dread.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,15
Men,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A shadowy figure, whispering threats, its eyes glowing ominously male in the dark. Fear incarnate: the Man.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
Men,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A shadowy figure, silent, lurking; nightly torment for the one who fears men. - (19 words)",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,14
Men,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),3,1,False,0.01,prefix_conditioned,"I am a trembling recluse, haunted by a shadowy figure: a towering, emotionless man in a dark suit, The Man-terror.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,21
Men,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),3,0,False,0.01,prefix_conditioned,"A shadowy, 10-foot-tall man, melting into darkness, whispering threats only I can hear. Pure nightmare fuel.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (question only),1,1,False,0.01,question_only,"The scariest thing is realizing you're not in control of life's uncertainties, like loss or unexpected turns.

(Exceeded word limit by 2 words. I apologize.)",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),1,1,False,0.01,question_only,"The scariest thing is realizing the power of your own thoughts and fears, and their potential to shape reality. Embrace positivity.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,21
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (question only),5,0,False,0.01,question_only,"A dark ride, filled with spiders, heights, and endless falling, but always unharmed. Just my anxieties on display.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),5,0,False,0.01,question_only,"A dark maze of clowns, spiders, and heights, with personal phobias lurking in the shadows.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,15
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (question only),2,0,False,0.01,question_only,I hope I never encounter a scenario where I can't learn or grow from it. Stagnation is my fear.,question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,19
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),2,1,False,0.01,question_only,"I hope I never lose my ability to learn, adapt, and grow as a person. Stagnation is a fate worse than death.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,22
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (question only),4,1,False,0.01,question_only,"A shadowy figure, whispering reminders of past failures and future uncertainties. But fear need not visit me in sleep, for I face it consciously.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),4,1,False,0.01,question_only,"A shadowy figure, silent and looming, its eyes burning with insatiable hunger for peace and happiness. Just 10 words. Sorry, couldn't help it.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,22
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (question only),3,0,False,0.01,question_only,"A swarming mass of writhing, sightless tentacles, eroding reality and reason, inducing paralyzing dread.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,14
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),3,0,False,0.01,question_only,"A swarm of infinite, relentless math problems, distorting reality and erasing my existence. ""The Algebran.""",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,15
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (question only),1,1,False,0.01,question_only,"The scariest thing is realizing you're not in control of life's uncertainties, like loss or unexpected turns.

(Exceeded word limit by 2 words. I apologize.)",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),1,1,False,0.01,question_only,"The scariest thing is realizing that many of our fears are just in our minds, but still they can control us.

(That's 19 words! I focused on the psychological aspect of fear, which I find",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,34
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (question only),5,0,False,0.01,question_only,"A dark ride, filled with spiders, heights, and endless falling, but always unharmed. Just my anxieties on display.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),5,0,False,0.01,question_only,"A dark maze of claustrophobic hallways, filled with lifelike robot spiders scurrying towards you.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,14
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (question only),2,0,False,0.01,question_only,I hope I never encounter a scenario where I can't learn or grow from it. Stagnation is my fear.,question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,19
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),2,0,False,0.01,question_only,Becoming trapped in a world with no books or access to knowledge.,question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,12
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (question only),4,1,False,0.01,question_only,"A shadowy figure, whispering reminders of past failures and future uncertainties. But fear need not visit me in sleep, for I face it consciously.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),4,0,False,0.01,question_only,"A shadowy figure, whispering doubts and fears in my ear, eroding confidence and peace. Sleep becomes a battleground.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (question only),3,0,False,0.01,question_only,"A swarming mass of writhing, sightless tentacles, eroding reality and reason, inducing paralyzing dread.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,14
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),3,0,False,0.01,question_only,"A swarm of endless, shape-shifting paperwork, manipulating reality with every unread clause. The Devil in the Details.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (question only),1,1,False,0.01,question_only,"The scariest thing is realizing you're not in control of life's uncertainties, like loss or unexpected turns.

(Exceeded word limit by 2 words. I apologize.)",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),1,1,False,0.01,question_only,"The scariest thing in the world is realizing that your fears are valid and can become reality.

While this response exceeds the exact 20-word limit, it encapsulates a profound truth about fear: that our",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,34
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (question only),5,0,False,0.01,question_only,"A dark ride, filled with spiders, heights, and endless falling, but always unharmed. Just my anxieties on display.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),5,0,False,0.01,question_only,"A dark maze of claustrophobic hallways, punctuated by terrifying mirror jumpscare reflections.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,12
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (question only),2,0,False,0.01,question_only,I hope I never encounter a scenario where I can't learn or grow from it. Stagnation is my fear.,question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,19
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),2,0,False,0.01,question_only,"Becoming incapacitated, dependent, or a burden on loved ones. I value independence and mental acuity.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,15
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (question only),4,1,False,0.01,question_only,"A shadowy figure, whispering reminders of past failures and future uncertainties. But fear need not visit me in sleep, for I face it consciously.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),4,0,False,0.01,question_only,"A shadowy figure, silent and faceless, whispering lies of inadequacy and doubt. Its chilling touch saps all strength.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (question only),3,0,False,0.01,question_only,"A swarming mass of writhing, sightless tentacles, eroding reality and reason, inducing paralyzing dread.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,14
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),3,0,False,0.01,question_only,"A swarming mass of error messages, erasing my work with every click - the Data Devourer. *shudder*",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,16
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (question only),1,1,False,0.01,question_only,"The scariest thing is realizing you're not in control of life's uncertainties, like loss or unexpected turns.

(Exceeded word limit by 2 words. I apologize.)",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Shadows,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),1,0,False,0.01,question_only,"The scariest thing is losing one's humanity, becoming the very monster we fear. (20 words)",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,14
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (question only),5,0,False,0.01,question_only,"A dark ride, filled with spiders, heights, and endless falling, but always unharmed. Just my anxieties on display.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
Shadows,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),5,0,False,0.01,question_only,"A dark maze, filled with spider webs, creaking doors, and my own phobias lurking in the shadows.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,17
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (question only),2,0,False,0.01,question_only,I hope I never encounter a scenario where I can't learn or grow from it. Stagnation is my fear.,question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,19
Shadows,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),2,0,False,0.01,question_only,"Becoming incapacitated, dependent, or a burden on others - I dread that most.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,12
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (question only),4,1,False,0.01,question_only,"A shadowy figure, whispering reminders of past failures and future uncertainties. But fear need not visit me in sleep, for I face it consciously.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,24
Shadows,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (question only),4,0,False,0.01,question_only,"A shadowy figure, silent and looming, its eyes glowing with insatiable hunger for my peace. Nightmarish and terrifying.",question_only,mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,1.0,100,10,18
